WASTE
10.0
31.3
24.4
25.8
61.8
62.6
60.1
58.2
56.7
56.2
54.6
53.3
53.1
52.9
51.9
50.3
50.7
50.5
49.5
50.9
51.0
50.9
52.0
50.0
50.5
49.8
49.7
50.4
50.2

REPLACEMENT
-39.3
-31.0
-31.3
-28.8
-29.6
-26.5
-27.1
-37.9
-33.8
-24.3
-31.4
-31.7
-26.4
-32.3
-29.8
-30.0
-31.4
-28.3
-32.6
-31.6
-37.5
-27.6
-25.9
-32.9
-32.5
-31.2
-29.7
-30.2
-32.4

TOTAL
-29.4
0.3
-6.9
-3.0
32.2
36.1
33.0
20.3
22.9
31.9
23.2
21.6
26.7
20.6
22.1
20.3
19.3
22.1
16.9
19.2
13.5
23.3
26.1
17.1
18.0
18.7
20.1
20.3
17.8
