WASTE
48.1
49.0
47.7
49.4
48.9
50.3
48.8
49.9
51.5
50.6
50.7
49.0
51.0
50.8
50.3
49.5
51.7
49.8
49.2
50.6
48.7
51.8
50.3
50.4
50.1
51.0
49.8
50.8
46.9
53.2
49.8
49.9
49.3
50.6
50.8
49.6
51.0
51.2
50.9
50.1
52.4
50.6
51.5
49.5
54.4
52.3
49.5
48.6
56.4
48.0
47.4
48.3
47.4
49.5
48.6
51.7
51.1
50.1

REPLACEMENT
-5.8
-24.2
-13.8
-49.4
-2.3
-14.3
-21.8
-36.7
-11.5
-22.7
-19.1
-11.3
-37.2
-13.7
-21.9
-16.8
-18.4
-19.8
-39.3
-13.2
-9.6
-32.2
-12.4
-32.5
-12.8
-26.2
-14.6
-27.5
-16.4
-31.2
-10.9
-19.1
-31.2
-9.0
-17.6
-29.0
-6.6
-22.4
-18.8
-29.6
-21.5
-12.5
-31.4
-19.6
-17.4
-18.7
-17.3
-28.2
-22.2
-13.3
-27.1
-11.4
-19.6
-28.6
-7.1
-26.1
-26.5
-16.4

TOTAL
42.3
24.8
33.9
-0.0
46.6
36.1
27.0
13.3
40.0
27.8
31.6
37.7
13.8
37.1
28.3
32.7
33.3
30.0
9.9
37.4
39.1
19.6
37.9
17.9
37.3
24.8
35.3
23.4
30.5
22.0
38.9
30.8
18.0
41.6
33.3
20.7
44.4
28.8
32.1
20.6
30.9
38.1
20.1
29.9
37.0
33.6
32.2
20.4
34.2
34.7
20.4
36.9
27.7
20.9
41.6
25.7
24.7
33.7
